i_d,regdate,first_name,last_name,homephone,email_address,street,city,state,zipcode
2715,1/27/09,Mary,Ther,hobdul27@jumpstartlab.com,202-494-2000,1858 California St. NW #41,Washington,Dc,20009
1484,1/21/09,Ashley,Tourneville,wcbutler@jumpstartlab.com,301 6545000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
2576,1/23/09,Lacey,Tran,whsouza@jumpstartlab.com,301-312-7000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
367,12/19/08,Kristina,Trowbridge,oumandrell@jumpstartlab.com,202-481-6000,"110 Maryland Ave., NE, Suite 108",Washington,Dc,20002
3143,1/30/09,Annelise,Tsuji,hrchaelaraman@jumpstartlab.com,xxxx000,235 2nd St NE,Washington,Dc,20002
1403,1/21/09,Jacob,Two,cyvid@jumpstartlab.com,215-527-5000,4400 Massachusetts Ave NW,Washington,Dc,20016
2618,1/24/09,Christi,Two,xdolec1@jumpstartlab.com,202-302-7000,3003 Van Ness St. NW #S606,Washington,Dc,20008
1443,1/21/09,Ashley,Vandeputte,owzapf@jumpstartlab.com,301 6545000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
1218,1/20/09,Meghan,Vanegas,bu@jumpstartlab.com,240 645 5000,"3000 Cathedral Ave, NW",Washington,Dc,20008
2723,1/27/09,Catherine,Varlese,gusonsm@jumpstartlab.com,510 657 7000,800 florida ave ne #1224,Washington,Dc,20002
4053,2/1/09,Joe,Vernon,xkmes.p.gilchrist@jumpstartlab.com,720-934-8000,3636 T St. NW,Washington,Dc,20007
1430,1/21/09,Alicia,Veysey,cyaen1.arnold@jumpstartlab.com,301 6545000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
2588,1/23/09,Annelies,Vig,orrek.j.roy@jumpstartlab.com,301-312-7000,http://410woman.googlepages.com,Washington,Dc,20016
2680,1/26/09,Maura,Viglietta,updkinss@jumpstartlab.com,917-407-4000,4110 14th St. NW,Washington,Dc,20011
2222,1/21/09,Raymond,Vyas,gwdela10@jumpstartlab.com,860-478-4000,"2222 Eye Street, NW, #302",Washington,Dc,20052
4449,2/1/09,Kelsey,Wadsworth,cmartzel@jumpstartlab.com,949-547-8000,901 6th St. SW Apt 414A,Washington,Dc,20024
2580,1/23/09,Kelsey,Walters,hctthew.kramer@jumpstartlab.com,301-312-7000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
4919,2/1/09,Torsten,Weber-Shirk,ggd2543@jumpstartlab.com,5408883000,1616 P Street NW Suite 340,Washington,Dc,20036
1451,1/21/09,Alicia,Weisberg,nuagnoni@jumpstartlab.com,301 6545000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
1441,1/21/09,Kelsy,Weitner,bxBurdiss@jumpstartlab.com,301 6545000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
4457,2/1/09,Jennifer,Wichman,vehns1jm@jumpstartlab.com,503-258-7000,4400 Massachusetts Avenue,Washington,Dc,20016
1392,1/21/09,Monica,Wilson,rblary@jumpstartlab.com,201-208-5000,4400 Massachusetts Ave NW,Washington,Dc,20016
2162,1/21/09,Kate,Wojtalewicz,pfdasamc@jumpstartlab.com,413.539.3000,"950 24th St, NW, #413",Washington,Dc,20052
1234,1/20/09,Kendra,Xx,ygalabre@jumpstartlab.com,240 645 5000,"3000 Cathedral Ave, NW",Washington,Dc,20008
847,1/18/09,Laura,Xx,abnedoe3@jumpstartlab.com,802-659-4000,"2601 Woodley Place NW, Apt 813",Washington,Dc,20008
1258,1/21/09,Althea,Xx,udsaw87@jumpstartlab.com,240 645 5000,"3000 Cathedral Ave, NW",Washington,Dc,20008
1254,1/21/09,Adriana,Zapfel,vemusic@jumpstartlab.com,240 645 5000,"3000 Cathedral Ave, NW",Washington,Dc,20008
4159,2/1/09,John,Zeller,eyudartj@jumpstartlab.com,805-766-2000,"1608 Rhode Island Ave, NW",Washington,Dc,20036
1473,1/21/09,Adam,Zimmerman,jal08d@jumpstartlab.com,301 6545000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
2575,1/23/09,Brian,Zipin,wwshaw@jumpstartlab.com,301-312-7000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
